date_mesure,geocode_commune,libelle_commune,mode_transport,valeur
2022-01-01T00:00:00.000,73069,Chamoux-sur-Gelon,Pas de transport,25.268453836421948
2022-01-01T00:00:00.000,63415,Sauxillanges,Marche,25.21939973753436
2022-01-01T00:00:00.000,32142,Gavarret-sur-Aulouste,Pas de transport,4.75862068965517
2022-01-01T00:00:00.000,51562,Taissy,Pas de transport,20.440840778499
2022-01-01T00:00:00.000,44033,La Chapelle-Launay,Vélo,20.31023891134497
2022-01-01T00:00:00.000,32449,Toujouse,Voiture,118.72983026434744
2022-01-01T00:00:00.000,04111,Mane,Voiture,329.18356287343346
2022-01-01T00:00:00.000,02094,Blesmes,Pas de transport,5.08041959566146
2022-01-01T00:00:00.000,06156,Venanson,Voiture,72.07317073170736
2022-01-01T00:00:00.000,76656,Saint-Victor-l'Abbaye,Vélo,5.0
2022-01-01T00:00:00.000,95459,Nucourt,Pas de transport,30.16783216783218
2022-01-01T00:00:00.000,60232,Ferrières,Voiture,181.27861149211603
2022-01-01T00:00:00.000,45274,Saint-Denis-en-Val,Transports en commun,214.7193800818886
2022-01-01T00:00:00.000,24138,Coulounieix-Chamiers,Pas de transport,100.199650449352
2022-01-01T00:00:00.000,56231,Saint-Nolff,Vélo,29.40788208494009
2022-01-01T00:00:00.000,43190,Saint-Germain-Laprade,Vélo,4.97826086956522
2022-01-01T00:00:00.000,91093,Boullay-les-Troux,Transports en commun,25.76074449625306
2022-01-01T00:00:00.000,39439,Port-Lesney,Voiture,179.66666666666654
2022-01-01T00:00:00.000,80736,Sorel-en-Vimeu,Voiture,96.23913043478265
2022-01-01T00:00:00.000,14606,Saint-Léger-Dubosq,Voiture,96.73809523809523
2022-01-01T00:00:00.000,51028,Avenay-Val-d'Or,Voiture,339.7017543859648
2022-01-01T00:00:00.000,68214,Montreux-Jeune,Marche,5.11111111111111
2022-01-01T00:00:00.000,95063,Bezons,Voiture,5869.633568110902
2022-01-01T00:00:00.000,38076,La Chapelle-de-la-Tour,Pas de transport,36.34652241041383
2022-01-01T00:00:00.000,70058,Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,Marche,9.644297275363499
2022-01-01T00:00:00.000,70202,Demangevelle,Marche,5.3365932960588
2022-01-01T00:00:00.000,01249,Miribel,Deux-roues motorisé,69.55934666094996
2022-01-01T00:00:00.000,56165,Ploërmel,Pas de transport,179.2339179967549
2022-01-01T00:00:00.000,17063,Breuil-la-Réorte,Marche,10.3956043956044
2022-01-01T00:00:00.000,81289,Soual,Marche,50.20428015564201
2022-01-01T00:00:00.000,33288,Monprimblanc,Voiture,114.35718562093786
2022-01-01T00:00:00.000,33090,Canéjan,Transports en commun,205.03469210754568
2022-01-01T00:00:00.000,45173,Jargeau,Voiture,1810.513709047255
2022-01-01T00:00:00.000,13085,Roquefort-la-Bédoule,Deux-roues motorisé,65.10559566787002
2022-01-01T00:00:00.000,38536,Vernioz,Transports en commun,21.61961239884527
2022-01-01T00:00:00.000,37091,La Croix-en-Touraine,Voiture,981.1899730603227
2022-01-01T00:00:00.000,69257,Vaux-en-Beaujolais,Deux-roues motorisé,9.85470085470086
2022-01-01T00:00:00.000,17232,Meursac,Marche,5.34312567545165
2022-01-01T00:00:00.000,54523,Thuilley-aux-Groseilles,Voiture,217.6272420826722
2022-01-01T00:00:00.000,24519,Sarlande,Voiture,147.5581395348837
2022-01-01T00:00:00.000,89261,Molinons,Vélo,5.03395376827636
2022-01-01T00:00:00.000,81149,Loupiac,Pas de transport,5.22319480586521
2022-01-01T00:00:00.000,60184,Croutoy,Marche,10.25
